pattern_id,pivot_6_date,future_log_return_H
2,2018-01-29,0.007747686790825957
3,2018-01-31,-0.03174869831458019
4,2018-02-02,0.029688821527921717
5,2018-02-09,0.030935800288513032
6,2018-02-12,0.04132819549284594
7,2018-02-13,-0.01834913866819654
8,2018-02-14,-0.0041753714104805105
9,2018-02-19,-0.025629285949742304
10,2018-02-21,0.054947696783903696
11,2018-02-23,0.03308572458576548
12,2018-02-27,0.03104031939464924
13,2018-03-05,0.06718944448780083
14,2018-03-07,0.04950598381345476
15,2018-03-08,0.006275233501397619
16,2018-03-13,0.0130720815673527
17,2018-03-16,0.12125853689571874
18,2018-03-20,0.1692494752266018
19,2018-03-21,0.026522615508978994
20,2018-03-22,0.07341312557104601
21,2018-03-23,0.053273885250879914
22,2018-03-26,0.005374293165776941
23,2018-03-27,-0.07906852347569297
24,2018-03-28,0.0
25,2018-03-29,0.0037579901423296655
26,2018-04-05,0.07246783944434083
27,2018-04-06,0.07058257464986956
28,2018-04-09,0.049040195424641365
29,2018-04-13,-0.06597427156367529
30,2018-04-19,0.0022263460030827594
31,2018-04-20,0.03833614874354703
32,2018-04-26,-0.040080979295535786
33,2018-05-02,0.06950320576697364
34,2018-05-07,0.07221820781179931
35,2018-05-09,0.08092144235222526
36,2018-05-10,0.04614660263578175
37,2018-05-16,0.05323475504113964
38,2018-05-21,0.047074897882676804
39,2018-05-22,0.021706278581863074
40,2018-05-24,-0.0885192938373066
41,2018-05-30,0.0056657375356773
42,2018-05-31,0.07055659346313425
43,2018-06-01,0.03407594239853691
44,2018-06-04,-0.0404862377083401
45,2018-06-05,-0.04010886901956878
46,2018-06-12,-0.06194562597154846
47,2018-06-15,0.039802893169195434
48,2018-06-22,-0.008635058636880497
49,2018-07-04,0.0502618347808883
50,2018-07-09,-0.004384598317824099
51,2018-07-11,0.00549955556603867
52,2018-07-16,0.08769120444423457
53,2018-07-18,0.05512506625039634
54,2018-07-19,0.02518434712148971
55,2018-07-23,-0.019745124636665824
56,2018-08-01,-0.021604023865275317
57,2018-08-08,0.03888909318672055
58,2018-08-10,0.013877547166362721
59,2018-08-20,0.141477027316346
60,2018-08-21,0.06902739531702864
61,2018-08-22,0.06169356900533975
62,2018-08-23,0.037558579195520005
63,2018-08-27,-0.05451072074925899
64,2018-08-28,-0.02495847683198889
65,2018-08-30,0.014544004900590893
66,2018-09-03,0.22383741068684596
67,2018-09-06,-0.12749468982509302
68,2018-09-07,-0.1507828288420216
69,2018-09-10,-0.1863725572105755
70,2018-09-11,-0.17835919400699243
71,2018-09-12,-0.06666132461586458
72,2018-09-13,0.1532432387486552
73,2018-09-14,0.1027030066352344
74,2018-09-17,0.06873814308972606
75,2018-09-18,0.04919024419077178
76,2018-09-19,-0.05899576747142488
77,2018-09-20,-0.056010905541371225
78,2018-09-25,-0.012787292402274665
79,2018-09-26,0.045396495753995667
80,2018-09-27,0.024188990600726743
81,2018-10-01,0.02632338551602803
82,2018-10-05,-0.08422563164036853
83,2018-10-09,-0.07488527495228388
84,2018-10-10,-0.00981159433158408
85,2018-10-11,-0.006564022558390106
86,2018-10-12,-0.03293710907408561
87,2018-10-15,0.022353245780748123
88,2018-10-16,-0.0031152673169493115
89,2018-10-18,-0.03400636798519509
90,2018-10-22,-0.13022858223583975
91,2018-10-24,-0.1812003090336539
92,2018-10-25,-0.20008852160860055
93,2018-10-26,-0.06789937766558027
94,2018-10-29,0.03244165360923757
95,2018-10-30,0.09235496055879278
96,2018-10-31,0.12939694067432012
97,2018-11-01,0.22493452019513135
98,2018-11-02,0.13250627720927735
99,2018-11-06,0.1365149850914104
100,2018-11-07,0.05790404818560303
101,2018-11-08,-0.0290476854402308
102,2018-11-12,-0.07967692092313108
103,2018-11-14,0.037796642216284364
104,2018-11-15,0.09626666003028181
105,2018-11-20,0.007168489478612497
106,2018-11-21,-0.06035013533317068
107,2018-11-22,-0.04397386530964769
108,2018-11-23,0.0142473547288329
109,2018-11-27,0.05605236021121654
110,2018-11-29,-0.0014996253747658359
111,2018-11-30,-0.010296732306639128
112,2018-12-05,0.08756197948972178
113,2018-12-07,0.14132499471304338
114,2018-12-10,0.16491299336569076
115,2018-12-11,0.18800971359226323
116,2018-12-12,0.13690250886561797
117,2018-12-13,0.09196473994147006
118,2018-12-14,0.0642175453684859
119,2018-12-17,0.023303585677883862
120,2018-12-24,-0.07673866713390944
121,2019-01-03,-0.05328136661293675
122,2019-01-07,0.013393057336438256
123,2019-01-08,-0.009678914099835012
124,2019-01-09,0.06033086154940386
125,2019-01-11,0.08913459776017506
126,2019-01-16,0.0548766102258343
127,2019-01-18,-0.03812718416228304
128,2019-01-24,-0.07637957332890753
129,2019-01-28,0.012655634765264694
130,2019-01-29,-0.009450242151802823
131,2019-01-31,0.05156231649382269
132,2019-02-04,-0.029038555979918772
133,2019-02-06,-0.12381384269869465
134,2019-02-08,-0.09120596276551876
135,2019-02-12,-0.023956168855793696
136,2019-02-14,-0.0508144563586625
137,2019-02-15,-0.07523872497858733
138,2019-02-18,-0.039240703358081754
139,2019-02-20,0.037848829040838784
140,2019-02-21,0.1429944550028796
141,2019-02-25,0.18413903100578732
142,2019-02-26,0.15429599698220423
143,2019-02-27,0.039636524850812406
144,2019-03-01,0.03267398823465314
145,2019-03-04,-0.03744106118426441
146,2019-03-06,0.006755260996125129
147,2019-03-07,-0.023039488991810426
148,2019-03-11,-0.020862434654158556
149,2019-03-14,-0.08246428287999907
150,2019-03-18,-0.04116577496253391
151,2019-03-19,0.01969121289018168
152,2019-03-20,0.009657467563318452
