norm,lstm_metrics,gru_metrics
pbfe/data/normalised\norm_pct.csv,"{'accuracy': 0.5110220440881763, 'f1': 0.6720430107526881, 'precision': 0.5076142131979695, 'recall': 0.9940357852882704, 'training_time': 3.2277286052703857}","{'accuracy': 0.5165330661322646, 'f1': 0.624951418577536, 'precision': 0.5130823229100191, 'recall': 0.7992047713717694, 'training_time': 3.629380464553833}"
pbfe/data/normalised\norm_log.csv,"{'accuracy': 0.5140280561122245, 'f1': 0.6673525377229081, 'precision': 0.5094240837696336, 'recall': 0.967196819085487, 'training_time': 3.367238998413086}","{'accuracy': 0.5205410821643287, 'f1': 0.547089446284903, 'precision': 0.5221318879855466, 'recall': 0.5745526838966203, 'training_time': 3.540210485458374}"
pbfe/data/normalised\norm_zscore.csv,"{'accuracy': 0.5265531062124249, 'f1': 0.5786892554614356, 'precision': 0.5246564268391269, 'recall': 0.6451292246520874, 'training_time': 3.2787513732910156}","{'accuracy': 0.531062124248497, 'f1': 0.5996578272027374, 'precision': 0.5262762762762763, 'recall': 0.6968190854870775, 'training_time': 3.6054115295410156}"
